iter	Logloss
0	0.6854647008
1	0.6794362255
2	0.6729183285
3	0.6660131206
4	0.660112272
5	0.6544910372
6	0.6496667887
7	0.6448520782
8	0.6406079574
9	0.6362974531
10	0.631924469
11	0.6281099969
12	0.6241826804
13	0.6205602025
14	0.6173702231
15	0.6143438761
16	0.6113355277
17	0.6083950884
18	0.6060100032
19	0.6037322081
20	0.6014546192
21	0.5991160435
22	0.5964478737
23	0.5942744292
24	0.5923712175
25	0.5903240289
26	0.5888204923
27	0.5873869662
28	0.5857602758
29	0.58424039
30	0.5831128111
31	0.5819400883
32	0.5806900824
33	0.5795184948
34	0.5782527178
35	0.577172735
36	0.5758250334
37	0.5747943535
38	0.5738807075
39	0.5727800177
40	0.5719602506
41	0.5713110915
42	0.5705916356
43	0.5697777009
44	0.5689928924
45	0.5682079732
46	0.5676120782
47	0.567009423
48	0.5663608323
49	0.5656976259
50	0.5648574346
51	0.5642896313
52	0.5637298652
53	0.562995864
54	0.5625419528
55	0.5618307105
56	0.56130973
57	0.5605538435
58	0.5600903385
59	0.5597166653
60	0.5592573556
61	0.5588007267
62	0.5583367124
63	0.5580134637
64	0.5572936619
65	0.5566599957
66	0.5563365215
67	0.5558778021
68	0.5555439685
69	0.5552731951
70	0.5550054972
71	0.5547516724
72	0.5544968205
73	0.5540524341
74	0.5537901713
75	0.5534995618
76	0.5532074803
77	0.5528622115
78	0.5524939096
79	0.5522520459
80	0.5519999312
81	0.5518095652
82	0.5514522263
83	0.5511995377
84	0.5510227982
85	0.5507963834
86	0.5504464561
87	0.550130311
88	0.5498069255
89	0.5494693367
90	0.5492719872
91	0.5491089135
92	0.5488577449
93	0.5485710553
94	0.5483445696
95	0.5481891424
96	0.5479182293
97	0.5477679511
98	0.547487911
99	0.5473369149
100	0.5470218299
101	0.5468535291
102	0.5466258143
103	0.5463577496
104	0.5460625012
105	0.5458172821
106	0.5456159939
107	0.5454572077
108	0.5453122224
109	0.5451297193
110	0.5449728318
111	0.5447325502
112	0.5445940669
113	0.5445326594
114	0.5444378555
115	0.5441799671
116	0.5439541851
117	0.5438422638
118	0.5436684359
119	0.543403411
120	0.5431869476
121	0.5430970433
122	0.5429702807
123	0.54284428
124	0.5427233258
125	0.5425763318
126	0.5424802878
127	0.54236989
128	0.5422658557
129	0.5420926753
130	0.5420217817
131	0.5418987883
132	0.5416852149
133	0.5416214293
134	0.541567269
135	0.5414507051
136	0.5413069418
137	0.5411403745
138	0.5409244493
139	0.5408713641
140	0.5407303102
141	0.5406109991
142	0.5405586895
143	0.5404527329
144	0.5403617048
145	0.5402533709
146	0.5401164987
147	0.5399893743
148	0.5399268025
149	0.5397866279
150	0.5397147152
151	0.5396232747
152	0.5394399684
153	0.5393662373
154	0.5393112592
155	0.539237758
156	0.5391335741
157	0.5390948753
158	0.5390669437
159	0.53897354
160	0.5389585155
161	0.5388076999
162	0.5387667015
163	0.5386817867
164	0.5386185224
165	0.5384534176
166	0.5383611007
167	0.5382901072
168	0.5381519169
169	0.538042397
170	0.5379231954
171	0.5378848596
172	0.5377295391
173	0.5376718055
174	0.537594608
175	0.5375721499
176	0.5375378379
177	0.5374265296
178	0.537373893
179	0.5373002508
180	0.5371807123
181	0.5370665674
182	0.5370235468
183	0.5368422079
184	0.5366524811
185	0.5365138878
186	0.5364274844
187	0.5363554279
188	0.5362639229
189	0.5362040964
190	0.5361169205
191	0.5360783302
192	0.5360376446
193	0.5360218345
194	0.5359134811
195	0.5358500414
196	0.5358111389
197	0.5357645576
198	0.5356900495
199	0.5356644508
200	0.5355070436
201	0.5354178136
202	0.5353690655
203	0.5353087584
204	0.5352210848
205	0.5351700015
206	0.5351021825
207	0.535023
208	0.5349561246
209	0.534823587
210	0.5347451711
211	0.5346464587
212	0.5345872581
213	0.5345108785
214	0.5344195243
215	0.5343032373
216	0.5341765761
217	0.5341047021
218	0.5340209707
219	0.5339567052
220	0.5339185078
221	0.5338620643
222	0.5337695902
223	0.533715315
224	0.5336996566
225	0.533654915
226	0.5335725822
227	0.5334444284
228	0.533390488
229	0.5333670056
230	0.5333398047
231	0.533277125
232	0.5332431271
233	0.5331976284
234	0.5330987297
235	0.5330105276
236	0.5329339245
