iter	Passed	Remaining
0	209	418563
1	244	244396
2	291	193987
3	342	171115
4	388	155052
5	434	144401
6	469	133687
7	512	127534
8	559	123759
9	605	120523
10	649	117389
11	696	115464
12	741	113313
13	789	112012
14	831	109994
15	876	108721
16	925	108004
17	975	107358
18	1022	106562
19	1069	105866
20	1116	105174
21	1161	104438
22	1208	103919
23	1257	103501
24	1303	102980
25	1349	102488
26	1397	102089
27	1446	101884
28	1494	101548
29	1540	101172
30	1585	100718
31	1634	100516
32	1684	100382
33	1731	100140
34	1784	100185
35	1837	100266
36	1893	100453
37	1946	100523
38	1997	100455
39	2049	100425
40	2096	100155
41	2140	99782
42	2189	99628
43	2238	99509
44	2285	99279
45	2336	99251
46	2382	99010
47	2431	98899
48	2477	98652
49	2524	98472
50	2580	98604
51	2631	98583
52	2677	98356
53	2725	98222
54	2771	98013
55	2818	97838
56	2864	97657
57	2920	97774
58	2973	97806
59	3020	97678
60	3071	97636
61	3119	97497
62	3166	97361
63	3215	97257
64	3259	97046
65	3306	96893
66	3354	96780
67	3401	96640
68	3451	96596
69	3500	96525
70	3551	96493
71	3595	96289
72	3645	96220
73	3698	96263
74	3749	96238
75	3802	96254
76	3849	96136
77	3905	96223
78	3955	96195
79	4009	96234
80	4054	96047
81	4102	95968
82	4156	95997
83	4209	96007
84	4261	96015
85	4312	95971
86	4367	96034
87	4417	95975
88	4471	96010
89	4519	95919
90	4567	95826
91	4613	95680
92	4660	95569
93	4706	95436
94	4753	95327
95	4802	95254
96	4846	95090
97	4905	95199
98	4954	95132
99	5006	95120
100	5058	95100
101	5110	95093
102	5158	95004
103	5206	94923
104	5258	94894
105	5308	94853
106	5355	94755
107	5405	94697
108	5448	94522
109	5496	94444
110	5546	94389
111	5593	94290
112	5636	94122
113	5681	93991
114	5725	93854
115	5776	93810
116	5829	93812
117	5875	93717
118	5927	93688
119	5975	93623
120	6026	93585
121	6076	93536
122	6119	93377
123	6163	93246
124	6208	93123
125	6254	93022
126	6303	92962
127	6353	92913
128	6404	92895
129	6453	92832
130	6500	92750
131	6545	92634
132	6593	92555
133	6638	92450
134	6689	92411
135	6740	92388
136	6790	92334
137	6834	92217
138	6879	92108
139	6931	92094
140	6977	91991
141	7028	91966
142	7072	91837
143	7124	91827
144	7171	91746
145	7218	91667
146	7270	91646
147	7323	91638
148	7373	91599
149	7415	91461
150	7461	91369
151	7514	91364
152	7564	91319
153	7612	91246
154	7659	91177
155	7706	91089
156	7748	90956
157	7791	90836
